"filename", "language", "JavaScript", "Vue.js", "SCSS", "YAML", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\天倬管理系统\src\components\Pagination\index.vue", "Vue.js", 0, 98, 0, 0, 0, 0, 0, 0, 0, 4, 102
"c:\Users\Lenovo\Desktop\天倬管理系统\src\components\Screenfull\index.vue", "Vue.js", 0, 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\Lenovo\Desktop\天倬管理系统\src\components\SvgIcon\index.vue", "Vue.js", 0, 57, 0, 0, 0, 0, 0, 0, 1, 5, 63
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\dashboard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\example.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\exit-fullscreen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\eye-open.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\eye.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\form.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\fullscreen.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\link.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\nested.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\signOut.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\tree.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svg\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Lenovo\Desktop\天倬管理系统\src\icons\svgo.yml", "YAML", 0, 0, 0, 5, 0, 0, 0, 0, 13, 5, 23
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\AppMain.vue", "Vue.js", 0, 40, 0, 0, 0, 0, 0, 0, 2, 4, 46
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\HeaderBar.vue", "Vue.js", 0, 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Navbar.vue", "Vue.js", 0, 178, 0, 0, 0, 0, 0, 0, 2, 13, 193
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\FixiOSBug.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\Item.vue", "Vue.js", 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\Link.vue", "Vue.js", 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\Logo.vue", "Vue.js", 0, 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\SidebarItem.vue", "Vue.js", 0, 83, 0, 0, 0, 0, 0, 0, 6, 7, 96
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\Sidebar\index.vue", "Vue.js", 0, 56, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\TagsView\ScrollPane.vue", "Vue.js", 0, 81, 0, 0, 0, 0, 0, 0, 4, 10, 95
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\TagsView\index.vue", "Vue.js", 0, 249, 0, 0, 0, 0, 0, 0, 41, 7, 297
"c:\Users\Lenovo\Desktop\天倬管理系统\src\layout\components\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
